Identifier,Collection Date,Number of bubbles,Bubble Detector ID,Sensitivity (b/mrem),Calculated Exposure (mrem),City,Province/Territory
02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-23T11:00:00.000-05:00,5,18129115,49,0.102040816,Port Dover,Ontario
02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-23T11:00:00.000-05:00,4,18129115,49,0.081632653,Port Dover,Ontario
02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-24T11:00:00.000-05:00,6,18129115,49,0.12244898,Port Dover,Ontario
02127c7f-69ce-41ee-ae58-402c405b5e49,2019-01-25T11:00:00.000-05:00,4,18129115,49,0.081632653,Port Dover,Ontario
1f129390-03f2-429b-abc6-66cfee9bf519,2019-01-25T14:59:00.000-04:00,7,18047344,47,0.14893617,Florenceville-Bristol,New Brunswick
5f93d214-802f-415b-8551-862e28c19789,2019-01-25T15:00:00.000-08:00,3,18046220,53,0.056603774,Salmon Arm,British Columbia
a055e33c-887f-4e89-a506-ceeb79adfc53,2019-01-26T22:23:00.000-05:00,9,18130148,42,0.214285714,London,Ontario
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-28T10:16:00.000-05:00,4,16260124,46,0.086956522,Strathroy,Ontario
0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-01-29T12:57:00.000-04:00,5,18051203,58,0.086,Bridgewater,Nova Scotia
5f93d214-802f-415b-8551-862e28c19789,2019-01-29T15:00:00.000-08:00,2,18046220,53,0.037735849,Salmon Arm,British Columbia
1f129390-03f2-429b-abc6-66cfee9bf519,2019-01-30T09:37:00.000-04:00,1,18047344,47,0.021276596,Florenceville-Bristol,New Brunswick
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-01-30T09:42:00.000-05:00,2,16260124,46,0.043478261,Strathroy,Ontario
009d1d48-27ab-4446-b20a-b67855ff8e8b,2019-01-30T08:52:00.000-07:00,1,17170223,47,0.021276596,Camrose,Alberta
1f129390-03f2-429b-abc6-66cfee9bf519,2019-01-31T12:47:00.000-04:00,2,18047344,47,0.042553191,Florenceville-Bristol,New Brunswick
5f93d214-802f-415b-8551-862e28c19789,2019-01-31T11:00:00.000-08:00,9,18046220,53,0.169811321,Salmon Arm,British Columbia
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,2019-02-01T09:47:00.000-05:00,2,16260124,46,0.043478261,Strathroy,Ontario
9519ed75-8806-4bad-a906-40e6bfc93cc7,2019-01-29T02:11:00.000-05:00,6,18051502,54,0.111111111,Sainte-Marie,Quebec
3327c487-1873-40a5-81eb-ebf0c4296959,2019-01-22T11:00:00.000-08:00,2,17072232,46,0.043478261,Port Hardy,British Columbia
3327c487-1873-40a5-81eb-ebf0c4296959,2019-01-23T12:00:00.000-08:00,1,17072232,46,0.02173913,Port Hardy,British Columbia
3327c487-1873-40a5-81eb-ebf0c4296959,2019-01-24T13:30:00.000-08:00,2,17072232,46,0.043478261,Port Hardy,British Columbia
3327c487-1873-40a5-81eb-ebf0c4296959,2019-01-25T10:00:00.000-08:00,2,17072232,46,0.043478261,Port Hardy,British Columbia
3327c487-1873-40a5-81eb-ebf0c4296959,2019-01-29T08:30:00.000-08:00,0,17072232,46,0,Port Hardy,British Columbia
3327c487-1873-40a5-81eb-ebf0c4296959,2019-01-30T09:30:00.000-08:00,0,17072232,46,0,Port Hardy,British Columbia
3327c487-1873-40a5-81eb-ebf0c4296959,2019-01-31T10:30:00.000-08:00,1,17072232,46,0.02173913,Port Hardy,British Columbia
3327c487-1873-40a5-81eb-ebf0c4296959,2019-02-01T09:00:00.000-08:00,4,17072232,46,0.086956522,Port Hardy,British Columbia
5f93d214-802f-415b-8551-862e28c19789,2019-02-01T15:30:00.000-08:00,5,18046220,53,0.094339623,Salmon Arm,British Columbia
d4f925c1-44d8-4209-902f-df2f6d9b6f50,2019-02-04T10:32:00.000-08:00,1,18046205,50,0.02,Sechelt,British Columbia
dad2387a-e40a-4a22-8ac7-1ff0c893d2da,2019-02-04T14:06:00.000-08:00,1,18046205,50,0.02,Sechelt,British Columbia
0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-02-05T14:40:00.000-04:00,1,18051203,58,0.017,Bridgewater,Nova Scotia
d5f82152-5e9b-4112-86a0-4471b05b6f82,2019-02-05T11:11:00.000-08:00,1,18046205,50,0.02,Sechelt,British Columbia
b0d40d82-757c-46da-af44-e9306f2a3aea,2019-02-05T13:09:00.000-08:00,1,18046205,50,0.02,Sechelt,British Columbia
5f93d214-802f-415b-8551-862e28c19789,2019-02-05T15:20:00.000-08:00,3,18046220,53,0.056603774,Salmon Arm,British Columbia
d4f925c1-44d8-4209-902f-df2f6d9b6f50,2019-02-06T08:59:00.000-08:00,1,18046205,50,0.02,Sechelt,British Columbia
dad2387a-e40a-4a22-8ac7-1ff0c893d2da,2019-02-06T13:08:00.000-08:00,1,18046205,50,0.02,Sechelt,British Columbia
0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-02-07T13:46:00.000-04:00,1,18051203,58,0.017,Bridgewater,Nova Scotia
5f93d214-802f-415b-8551-862e28c19789,2019-02-07T13:30:00.000-08:00,3,18046220,53,0.056603774,Salmon Arm,British Columbia
b0d40d82-757c-46da-af44-e9306f2a3aea,2019-02-07T13:52:00.000-08:00,0,18046205,50,0,Sechelt,British Columbia
b0d40d82-757c-46da-af44-e9306f2a3aea,2019-02-08T14:18:00.000-08:00,0,18046205,50,0,Sechelt,British Columbia
da3be5da-0ef7-4d36-84cb-c368409d9663,2019-02-11T09:15:00.000-05:00,2,18130249,49,0.04,London,Ontario
