,Identifier,Collection Date,Number of bubbles,Bubble Detector ID,Sensitivity (b/mrem),Calculated Exposure (mrem),City,Province/Territory
189,5e6065eb-1c77-43d9-8a9b-330542ec6361,2019-02-23,1,18129260,54,0.018518519,Grand Falls-Windsor,Newfoundland and Labrador
190,5e6065eb-1c77-43d9-8a9b-330542ec6361,2019-02-24,2,18129260,54,0.037037037,Grand Falls-Windsor,Newfoundland and Labrador
6,5f93d214-802f-415b-8551-862e28c19789,2019-01-16,1,18046220,53,0.018867925,Salmon Arm,British Columbia
8,5f93d214-802f-415b-8551-862e28c19789,2019-01-18,1,18046220,53,0.018867925,Salmon Arm,British Columbia
16,5f93d214-802f-415b-8551-862e28c19789,2019-01-19,2,18046220,53,0.037735849,Salmon Arm,British Columbia
17,5f93d214-802f-415b-8551-862e28c19789,2019-01-20,1,18046220,53,0.018867925,Salmon Arm,British Columbia
20,5f93d214-802f-415b-8551-862e28c19789,2019-01-21,2,18046220,53,0.037735849,Salmon Arm,British Columbia
23,5f93d214-802f-415b-8551-862e28c19789,2019-01-22,1,18046220,53,0.018867925,Salmon Arm,British Columbia
42,5f93d214-802f-415b-8551-862e28c19789,2019-01-23,1,18046220,53,0.018867925,Salmon Arm,British Columbia
43,5f93d214-802f-415b-8551-862e28c19789,2019-01-24,1,18046220,53,0.018867925,Salmon Arm,British Columbia
51,5f93d214-802f-415b-8551-862e28c19789,2019-01-25,3,18046220,53,0.056603774,Salmon Arm,British Columbia
55,5f93d214-802f-415b-8551-862e28c19789,2019-01-29,2,18046220,53,0.037735849,Salmon Arm,British Columbia
60,5f93d214-802f-415b-8551-862e28c19789,2019-01-31,9,18046220,53,0.16981132100000002,Salmon Arm,British Columbia
71,5f93d214-802f-415b-8551-862e28c19789,2019-02-01,5,18046220,53,0.09433962300000001,Salmon Arm,British Columbia
77,5f93d214-802f-415b-8551-862e28c19789,2019-02-05,3,18046220,53,0.056603774,Salmon Arm,British Columbia
81,5f93d214-802f-415b-8551-862e28c19789,2019-02-07,3,18046220,53,0.056603774,Salmon Arm,British Columbia
485,627d6cf1-94ac-4e77-8b6f-7f7b752ab12f,2019-04-01,2,18046241,48,0.04166667,Ottawa,Ontario
522,627d6cf1-94ac-4e77-8b6f-7f7b752ab12f,2019-04-08,3,18046241,48,0.0625,Ottawa,Ontario
570,627d6cf1-94ac-4e77-8b6f-7f7b752ab12f,2019-04-15,4,18046241,48,0.083333,Ottawa,Ontario
453,62d94657-543d-4f1c-af6c-61baa49e9d24,2019-03-19,1,18051220,59,0.017,Newmarket,Ontario
454,62d94657-543d-4f1c-af6c-61baa49e9d24,2019-03-20,1,18051220,59,0.017,Newmarket,Ontario
455,62d94657-543d-4f1c-af6c-61baa49e9d24,2019-03-21,2,18051220,59,0.034,Newmarket,Ontario
456,62d94657-543d-4f1c-af6c-61baa49e9d24,2019-03-22,2,18051220,59,0.034,Newmarket,Ontario
457,62d94657-543d-4f1c-af6c-61baa49e9d24,2019-03-25,3,18051220,59,0.051,Newmarket,Ontario
120,63579a04-e81b-4dfe-93e7-8d1ce3131de4,2019-02-20,6,18051415,54,0.111111111,Channel-Port Aux Basques,Newfoundland and Labrador
141,63579a04-e81b-4dfe-93e7-8d1ce3131de4,2019-02-21,2,18051415,54,0.037037037,Channel-Port Aux Basques,Newfoundland and Labrador
721,63579a04-e81b-4dfe-93e7-8d1ce3131de4,2019-02-23,17,18051415,54,0.314815,Channel-Port Aux Basques,Newfoundland and Labrador
304,63579a04-e81b-4dfe-93e7-8d1ce3131de4,2019-02-24,3,18051415,54,0.0555,Channel-Port Aux Basques,Newfoundland and Labrador
307,63579a04-e81b-4dfe-93e7-8d1ce3131de4,2019-02-26,3,18051415,54,0.0556,Channel-Port Aux Basques,Newfoundland and Labrador
308,63579a04-e81b-4dfe-93e7-8d1ce3131de4,2019-02-28,3,18051415,54,0.0556,Channel-Port Aux Basques,Newfoundland and Labrador
709,63b3d36f-e7fc-42d5-8218-824b28773191,2019-02-23,1,18130409,52,0.019231,Guelph,Ontario
710,63b3d36f-e7fc-42d5-8218-824b28773191,2019-02-24,1,18130409,52,0.019231,Guelph,Ontario
156,6648c712-0630-4539-af6d-f59cd463ae54,2019-02-22,1,18051554,47,0.021276596000000002,Longueuil,Quebec
178,6648c712-0630-4539-af6d-f59cd463ae54,2019-02-24,1,18051554,47,0.021276596000000002,Longueuil,Quebec
18,67837e41-158f-4f50-b569-b342e84d1233,2019-01-18,2,18129240,55,0.036363636,Amqui,Quebec
502,67837e41-158f-4f50-b569-b342e84d1233,2019-01-24,3,18129240,55,0.054545,Amqui,Quebec
503,67837e41-158f-4f50-b569-b342e84d1233,2019-01-26,2,18129240,55,0.03636,Amqui,Quebec
505,67837e41-158f-4f50-b569-b342e84d1233,2019-01-30,1,18129240,55,0.01818,Amqui,Quebec
589,67837e41-158f-4f50-b569-b342e84d1233,2019-04-06,2,18129240,55,0.03636,Amqui,Quebec
590,67837e41-158f-4f50-b569-b342e84d1233,2019-04-08,1,18129240,55,0.01818,Amqui,Quebec
591,67837e41-158f-4f50-b569-b342e84d1233,2019-04-10,3,18129240,55,0.054545,Amqui,Quebec
592,67837e41-158f-4f50-b569-b342e84d1233,2019-04-14,2,18129240,55,0.03636,Amqui,Quebec
594,67837e41-158f-4f50-b569-b342e84d1233,2019-04-17,1,18129240,55,0.01818,Amqui,Quebec
85,68021439-904b-4d53-b98c-5b40687f5d00,2019-02-13,1,17072241,53,0.018867925,Innisfail,Alberta
89,68021439-904b-4d53-b98c-5b40687f5d00,2019-02-14,2,17072241,53,0.037735849,Innisfail,Alberta
320,68021439-904b-4d53-b98c-5b40687f5d00,2019-02-26,1,17072241,53,0.018867925,Innisfail,Alberta
512,6b3c9938-f2bd-4319-bc2b-536731c81389,2019-02-20,1,18046238,52,0.019230768999999998,St-Jean-sur-Richelieu,Quebec
513,6b3c9938-f2bd-4319-bc2b-536731c81389,2019-02-22,1,18046238,52,0.019230768999999998,St-Jean-sur-Richelieu,Quebec
514,6b3c9938-f2bd-4319-bc2b-536731c81389,2019-02-26,10,18046238,52,0.192307692,St-Jean-sur-Richelieu,Quebec
516,6b3c9938-f2bd-4319-bc2b-536731c81389,2019-03-01,1,18046238,52,0.019230768999999998,St-Jean-sur-Richelieu,Quebec
518,6b3c9938-f2bd-4319-bc2b-536731c81389,2019-03-13,2,18046238,52,0.038461538999999996,St-Jean-sur-Richelieu,Quebec
278,6c107aaf-de6a-404a-9864-a8a708a852e4,2019-02-22,2,18130424,52,0.038461537999999997,Brampton,Ontario
280,6c107aaf-de6a-404a-9864-a8a708a852e4,2019-02-22,2,18130424,52,0.038461537999999997,Brampton,Ontario
281,6c107aaf-de6a-404a-9864-a8a708a852e4,2019-02-27,3,18130424,52,0.057692308,Brampton,Ontario
321,6c107aaf-de6a-404a-9864-a8a708a852e4,2019-03-01,2,18130424,52,0.03846,Brampton,Ontario
179,6c36af52-dc30-4adf-8210-d9d36caa017d,2019-02-24,2,18051445,43,0.046511628,Montreal,Quebec
368,6c3c96f6-c3c2-45ab-8c63-ceb6855ed5b8,2019-02-25,3,17072232,46,0.065217391,Port Hardy,British Columbia
369,6c3c96f6-c3c2-45ab-8c63-ceb6855ed5b8,2019-02-26,1,17072232,46,0.02173913,Port Hardy,British Columbia
370,6c3c96f6-c3c2-45ab-8c63-ceb6855ed5b8,2019-02-27,3,17072232,46,0.065217391,Port Hardy,British Columbia
372,6c3c96f6-c3c2-45ab-8c63-ceb6855ed5b8,2019-03-01,1,17072232,46,0.02173913,Port Hardy,British Columbia
373,6c3c96f6-c3c2-45ab-8c63-ceb6855ed5b8,2019-03-04,1,17072232,46,0.02173913,Port Hardy,British Columbia
374,6c3c96f6-c3c2-45ab-8c63-ceb6855ed5b8,2019-03-05,2,17072232,46,0.043478261,Port Hardy,British Columbia
678,6c3c96f6-c3c2-45ab-8c63-ceb6855ed5b8,2019-05-13,1,18051506,46,0.02173913,Port Hardy,British Columbia
680,6c3c96f6-c3c2-45ab-8c63-ceb6855ed5b8,2019-05-15,3,18051506,46,0.065217391,Port Hardy,British Columbia
681,6c3c96f6-c3c2-45ab-8c63-ceb6855ed5b8,2019-05-16,3,18051506,46,0.065217391,Port Hardy,British Columbia
684,6c3c96f6-c3c2-45ab-8c63-ceb6855ed5b8,2019-05-23,1,18051506,46,0.02173913,Port Hardy,British Columbia
685,6c3c96f6-c3c2-45ab-8c63-ceb6855ed5b8,2019-05-24,3,18051506,46,0.065217391,Port Hardy,British Columbia
95,6fc011b2-4310-4244-bd9a-c3e4aef54e64,2019-02-19,1,18130212,49,0.020408163,East Angus,Quebec
287,70aa09eb-f08d-4946-b502-3c623c9c6b2b,2019-02-23,1,17170304,56,0.0178,Winnipeg,Manitoba
288,70aa09eb-f08d-4946-b502-3c623c9c6b2b,2019-02-24,1,17170304,56,0.0178,Winnipeg,Manitoba
289,70aa09eb-f08d-4946-b502-3c623c9c6b2b,2019-02-25,1,17170304,56,0.0178,Winnipeg,Manitoba
290,70aa09eb-f08d-4946-b502-3c623c9c6b2b,2019-02-26,2,17170304,56,0.0357,Winnipeg,Manitoba
581,715c3737-b434-4cf3-9da8-4b3f54ff054c,2019-04-17,1,18130124,53,0.018867925,Sainte-Catherine-de-la-Jacques-Cartier,Quebec
316,7740d6e5-3551-4384-a304-38dcc4033825,2019-03-01,1,17129123,46,0.021,Saint-Jerome,Quebec
267,77441e8f-6665-41b3-bcc5-15e6ee310d6b,2019-02-22,1,18047235,42,0.02380952,Headingley,Manitoba
272,77441e8f-6665-41b3-bcc5-15e6ee310d6b,2019-02-25,2,18047235,42,0.04761905,Headingley,Manitoba
717,77441e8f-6665-41b3-bcc5-15e6ee310d6b,2019-02-26,1,18047235,42,0.02380952,Headingley,Manitoba
153,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-02-21,2,18129247,53,0.037735849,Calgary,Alberta
183,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-02-22,2,18129247,53,0.037735849,Calgary,Alberta
184,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-02-23,5,18129247,53,0.09433962300000001,Calgary,Alberta
186,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-02-24,6,18129247,53,0.11320754699999999,Calgary,Alberta
274,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-02-25,1,18129247,53,0.018867925,Calgary,Alberta
275,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-02-26,1,18129247,53,0.018867925,Calgary,Alberta
318,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-02-28,2,18129247,53,0.03773585,Calgary,Alberta
319,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-03-01,2,18129247,53,0.03773585,Calgary,Alberta
378,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-03-13,2,18129247,53,0.03773585,Calgary,Alberta
382,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-03-17,1,18129247,53,0.018867925,Calgary,Alberta
394,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-03-18,1,18129247,53,0.01886792,Calgary,Alberta
428,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-03-24,6,18129247,53,0.11320755,Calgary,Alberta
429,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-03-25,3,18129247,53,0.05660377,Calgary,Alberta
430,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-03-26,4,18129247,53,0.0754717,Calgary,Alberta
486,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-04-01,1,18129247,53,0.018867923999999998,Calgary,Alberta
579,7cda7462-6d8d-439c-b482-5bd6d768352a,2019-04-15,4,18129247,53,0.075471698,Calgary,Alberta
173,807d5dcd-3485-4f3c-87e4-ae51dd391dd6,2019-02-20,3,18130311,52,0.057692308,Calgary,Alberta
0,8163f602-9db5-4c01-9045-d7d997315c82,2018-12-18,3,18051217,44,0.068,London,Ontario
7,8163f602-9db5-4c01-9045-d7d997315c82,2019-01-17,2,18129251,41,0.049,London,Ontario
13,8163f602-9db5-4c01-9045-d7d997315c82,2019-01-18,1,18129251,41,0.024,London,Ontario
14,8163f602-9db5-4c01-9045-d7d997315c82,2019-01-19,2,18129251,41,0.049,London,Ontario
15,8163f602-9db5-4c01-9045-d7d997315c82,2019-01-20,1,18129251,44,0.024,London,Ontario
12,8163f602-9db5-4c01-9045-d7d997315c82,2019-01-21,3,18129251,41,0.073,London,Ontario
397,8163f602-9db5-4c01-9045-d7d997315c82,2019-03-20,2,18129251,41,0.049,London,Ontario
399,8163f602-9db5-4c01-9045-d7d997315c82,2019-03-20,2,18129251,41,0.049,London,Ontario
317,81cbc647-8732-4a8c-95d0-f536ac37c626,2019-03-01,1,17129123,46,0.021,Saint-Jerome,Quebec
122,849d5554-9ed3-40da-8365-83c8a0c93a0f,2019-02-20,1,18051442,61,0.016393443,Deep River,Ontario
142,849d5554-9ed3-40da-8365-83c8a0c93a0f,2019-02-21,1,18051442,61,0.016393400000000002,Deep River,Ontario
161,849d5554-9ed3-40da-8365-83c8a0c93a0f,2019-02-22,2,18051442,61,0.032786800000000005,Deep River,Ontario
196,849d5554-9ed3-40da-8365-83c8a0c93a0f,2019-02-25,5,18051442,61,0.0819672,Deep River,Ontario
233,849d5554-9ed3-40da-8365-83c8a0c93a0f,2019-02-26,7,18051442,61,0.114754,Deep River,Ontario
383,89d487a5-bd45-45b6-8118-13953c307150,2019-02-19,1,17170216,51,0.0196078,Belleville,Ontario
384,89d487a5-bd45-45b6-8118-13953c307150,2019-02-20,3,17170216,51,0.0588235,Belleville,Ontario
385,89d487a5-bd45-45b6-8118-13953c307150,2019-02-21,1,17170216,51,0.0196078,Belleville,Ontario
387,89d487a5-bd45-45b6-8118-13953c307150,2019-02-24,1,17170216,51,0.0196078,Belleville,Ontario
389,89d487a5-bd45-45b6-8118-13953c307150,2019-02-25,1,17170216,51,0.0196078,Belleville,Ontario
388,89d487a5-bd45-45b6-8118-13953c307150,2019-02-26,1,17170216,51,0.0196078,Belleville,Ontario
390,89d487a5-bd45-45b6-8118-13953c307150,2019-02-27,2,17170216,51,0.0392156,Belleville,Ontario
392,89d487a5-bd45-45b6-8118-13953c307150,2019-03-01,1,17170216,51,0.0196078,Belleville,Ontario
311,92f09f90-a005-4db9-9e3d-5fa148ac56a5,2019-02-28,4,18051536,67,0.0597,Terrace Bay,Ontario
462,92f09f90-a005-4db9-9e3d-5fa148ac56a5,2019-03-21,2,18051536,67,0.0299,Terrace Bay,Ontario
464,92f09f90-a005-4db9-9e3d-5fa148ac56a5,2019-03-22,2,18051536,67,0.0299,Terrace Bay,Ontario
466,92f09f90-a005-4db9-9e3d-5fa148ac56a5,2019-03-24,1,18051536,67,0.0149,Terrace Bay,Ontario
468,92f09f90-a005-4db9-9e3d-5fa148ac56a5,2019-03-28,2,18051536,67,0.0299,Terrace Bay,Ontario
469,92f09f90-a005-4db9-9e3d-5fa148ac56a5,2019-03-29,3,18051536,67,0.0448,Terrace Bay,Ontario
62,9519ed75-8806-4bad-a906-40e6bfc93cc7,2019-01-29,6,18051502,54,0.111111111,Sainte-Marie,Quebec
126,959484ae-c895-403a-83df-59404e44b9f6,2019-02-21,1,17170336,56,0.01785714,Petawawa,Ontario
157,959484ae-c895-403a-83df-59404e44b9f6,2019-02-22,1,17170336,56,0.01785714,Petawawa,Ontario
402,959484ae-c895-403a-83df-59404e44b9f6,2019-03-19,1,17170336,56,0.01785714,Petawawa,Ontario
403,959484ae-c895-403a-83df-59404e44b9f6,2019-03-20,2,17170336,56,0.03571429,Petawawa,Ontario
404,959484ae-c895-403a-83df-59404e44b9f6,2019-03-21,2,17170336,56,0.03571429,Petawawa,Ontario
415,959484ae-c895-403a-83df-59404e44b9f6,2019-03-22,1,17170336,56,0.01786,Petawawa,Ontario
567,96a7eb3b-bbb4-44f7-80ea-951ffc86b3ee,2019-03-14,14,18051528,48,0.291667,Lachine,Quebec
704,96a7eb3b-bbb4-44f7-80ea-951ffc86b3ee,2019-03-20,5,18051528,48,0.10416700000000001,Lachine,Quebec
498,96a7eb3b-bbb4-44f7-80ea-951ffc86b3ee,2019-04-03,4,18051528,52,0.076923077,Montreal,Quebec
407,98cd0b54-8529-4545-a732-795e531f2f1c,2019-02-19,3,18129347,54,0.05,Toronto,Ontario
698,993ac4ae-4c22-4a0c-9ef4-b9c6aee0be2d,2019-02-21,2,17170303,47,0.042553,Ottawa (Cumberland),Ontario
699,993ac4ae-4c22-4a0c-9ef4-b9c6aee0be2d,2019-02-22,3,17170303,47,0.06383,Ottawa (Cumberland),Ontario
702,993ac4ae-4c22-4a0c-9ef4-b9c6aee0be2d,2019-02-23,2,17170303,47,0.042553,Ottawa (Cumberland),Ontario
700,993ac4ae-4c22-4a0c-9ef4-b9c6aee0be2d,2019-02-25,2,17170303,47,0.042553,Ottawa (Cumberland),Ontario
701,993ac4ae-4c22-4a0c-9ef4-b9c6aee0be2d,2019-02-26,3,17170303,47,0.06383,Ottawa (Cumberland),Ontario
343,99b2bc9a-81a8-40d1-af3c-2c7fd27dae2c,2019-03-06,3,18129309,54,0.06,Grimsby,Ontario
353,99b2bc9a-81a8-40d1-af3c-2c7fd27dae2c,2019-03-07,1,18129309,54,0.02,Grimsby,Ontario
361,99b2bc9a-81a8-40d1-af3c-2c7fd27dae2c,2019-03-09,1,18129309,54,0.02,Grimsby,Ontario
362,99b2bc9a-81a8-40d1-af3c-2c7fd27dae2c,2019-03-10,2,18129309,54,0.04,Richmond Hill,Ontario
431,99b2bc9a-81a8-40d1-af3c-2c7fd27dae2c,2019-03-26,1,18129309,54,0.02,Grimsby,Ontario
452,99b2bc9a-81a8-40d1-af3c-2c7fd27dae2c,2019-03-28,3,18129309,54,0.06,Grimsby,Ontario
86,9caaea99-7447-4fe6-9116-efa99147c123,2019-02-13,2,18130114,52,0.038461537999999997,Innisfail,Alberta
90,9caaea99-7447-4fe6-9116-efa99147c123,2019-02-15,2,18130114,52,0.038461537999999997,Innisfail,Alberta
143,9dde2b0e-a95b-4421-9c49-bca65602dc63,2019-02-21,1,18130228,48,0.020833333,Tsawwassen,British Columbia
291,9fb3bbf0-a43a-40b0-9c90-b60fcd63ce51,2019-02-20,3,18051346,68,0.04,Gloucester,Ontario
713,a055e33c-887f-4e89-a506-ceeb79adfc53,2018-12-18,3,18130148,44,0.068,London,Ontario
9,a055e33c-887f-4e89-a506-ceeb79adfc53,2019-01-19,2,18130148,42,0.047619048,London,Ontario
10,a055e33c-887f-4e89-a506-ceeb79adfc53,2019-01-20,6,18130148,42,0.14285714300000002,London,Ontario
27,a055e33c-887f-4e89-a506-ceeb79adfc53,2019-01-23,7,18130148,42,0.166666667,London,Ontario
52,a055e33c-887f-4e89-a506-ceeb79adfc53,2019-01-26,9,18130148,42,0.214285714,London,Ontario
719,a055e33c-887f-4e89-a506-ceeb79adfc53,2019-02-24,28,18130148,42,0.666667,London,Ontario
340,a80a5290-4bab-4317-a175-4d0a017ac54c,2019-03-05,3,18130311,52,0.057692308,Calgary,Alberta
28,aa67859e-3213-438f-8623-77dca6789a1d,2019-01-17,2,18047333,48,0.041666667000000004,LaSalle,Quebec
29,aa67859e-3213-438f-8623-77dca6789a1d,2019-01-19,1,18047333,48,0.020833333,LaSalle,Quebec
30,aa67859e-3213-438f-8623-77dca6789a1d,2019-01-20,1,18047333,48,0.020833333,LaSalle,Quebec
432,add8d275-7362-47d2-8a9e-3d9f2d310bab,2019-02-21,3,18129245,55,0.0545,Whitchurch-Stouffville,Ontario
433,add8d275-7362-47d2-8a9e-3d9f2d310bab,2019-02-22,2,18129245,55,0.0364,Whitchurch-Stouffville,Ontario
434,add8d275-7362-47d2-8a9e-3d9f2d310bab,2019-02-25,1,18129245,55,0.0182,Whitchurch-Stouffville,Ontario
435,add8d275-7362-47d2-8a9e-3d9f2d310bab,2019-02-27,2,18129245,55,0.0364,Whitchurch-Stouffville,Ontario
436,add8d275-7362-47d2-8a9e-3d9f2d310bab,2019-02-28,2,18129245,55,0.0364,Whitchurch-Stouffville,Ontario
437,add8d275-7362-47d2-8a9e-3d9f2d310bab,2019-03-04,1,18129245,55,0.0182,Whitchurch-Stouffville,Ontario
438,add8d275-7362-47d2-8a9e-3d9f2d310bab,2019-03-06,3,18129245,55,0.0545,Whitchurch-Stouffville,Ontario
439,add8d275-7362-47d2-8a9e-3d9f2d310bab,2019-03-20,1,18129245,55,0.018119999999999997,Whitchurch-Stouffville,Ontario
440,add8d275-7362-47d2-8a9e-3d9f2d310bab,2019-03-22,2,18129245,55,0.03634,Whitchurch-Stouffville,Ontario
279,af8ce2f7-8567-4534-bbf7-7b2892b535e0,2019-02-22,2,18130424,52,0.03846,Brampton,Ontario
282,af8ce2f7-8567-4534-bbf7-7b2892b535e0,2019-02-27,3,18130424,52,0.05769,Brampton,Ontario
322,af8ce2f7-8567-4534-bbf7-7b2892b535e0,2019-03-01,2,18130424,52,0.03846,Brampton,Ontario
76,b0d40d82-757c-46da-af44-e9306f2a3aea,2019-02-05,1,18046205,50,0.02,Sechelt,British Columbia
87,b0d40d82-757c-46da-af44-e9306f2a3aea,2019-02-14,5,18046205,50,0.1,Sechelt,British Columbia
102,b0d40d82-757c-46da-af44-e9306f2a3aea,2019-02-19,3,18046205,50,0.06,Sechelt,British Columbia
367,b0d40d82-757c-46da-af44-e9306f2a3aea,2019-03-12,2,18046205,50,0.04,Sechelt,British Columbia
533,b0d40d82-757c-46da-af44-e9306f2a3aea,2019-04-09,1,18046205,50,0.02,Sechelt,British Columbia
575,ba7cbb6f-bc3d-43f6-bdff-de28e8c058c0,2019-03-30,2,18051453,43,0.046511628,East Angus,Quebec
576,ba7cbb6f-bc3d-43f6-bdff-de28e8c058c0,2019-04-01,1,18051453,43,0.023255814,Sherbrooke,Quebec
578,ba7cbb6f-bc3d-43f6-bdff-de28e8c058c0,2019-04-08,1,18051453,43,0.023255814,Sherbrooke,Quebec
235,bab46cbd-34c0-4420-b1dc-5e6d035164d4,2019-02-20,6,18128312,52,0.1154,Dryden,Ontario
236,bab46cbd-34c0-4420-b1dc-5e6d035164d4,2019-02-21,5,18128312,52,0.0962,Dryden,Ontario
237,bab46cbd-34c0-4420-b1dc-5e6d035164d4,2019-02-22,7,18128312,52,0.1346,Dryden,Ontario
238,bab46cbd-34c0-4420-b1dc-5e6d035164d4,2019-02-25,7,18128312,52,0.1346,Dryden,Ontario
696,baf3b0d2-2854-435e-a691-f8ce6f8863e5,2019-01-24,2,18130340,44,0.045455,Kelowna,British Columbia
222,bca40704-6796-4e2a-a5a2-62493aad6374,2019-02-20,1,18130204,54,0.0185185,St. Albert,Alberta
240,bca40704-6796-4e2a-a5a2-62493aad6374,2019-02-21,1,18130204,54,0.0185185,St. Albert,Alberta
241,bca40704-6796-4e2a-a5a2-62493aad6374,2019-02-22,3,18130204,54,0.055555499999999994,St. Albert,Alberta
242,bca40704-6796-4e2a-a5a2-62493aad6374,2019-02-23,1,18130204,54,0.0185185,St. Albert,Alberta
243,bca40704-6796-4e2a-a5a2-62493aad6374,2019-02-24,1,18130204,54,0.0185185,St. Albert,Alberta
244,bca40704-6796-4e2a-a5a2-62493aad6374,2019-02-25,1,18130204,54,0.0185185,St. Albert,Alberta
245,bca40704-6796-4e2a-a5a2-62493aad6374,2019-02-26,1,18130204,54,0.0185185,St. Albert,Alberta
396,bf78c43c-bf1d-42e7-b53c-6253a80a34b3,2019-03-19,3,18128319,58,0.05,Dartmouth,Nouvelle-?cosse
416,bf78c43c-bf1d-42e7-b53c-6253a80a34b3,2019-03-20,1,18128319,58,0.017,Dartmouth N.-E.,Nouvelle-?cosse
417,bf78c43c-bf1d-42e7-b53c-6253a80a34b3,2019-03-21,2,18128319,58,0.034,Dartmouth N.-E.,Nouvelle-?cosse
418,bf78c43c-bf1d-42e7-b53c-6253a80a34b3,2019-03-22,1,18128319,58,0.017,Dartmouth N.-E.,Nouvelle-?cosse
419,bf78c43c-bf1d-42e7-b53c-6253a80a34b3,2019-03-23,2,18128319,58,0.03,Dartmouth N.-E.,Nouvelle-?cosse
420,bf78c43c-bf1d-42e7-b53c-6253a80a34b3,2019-03-24,2,18128319,58,0.03,Dartmouth N.-E.,Nouvelle-?cosse
326,c10907a9-2918-4e39-98d1-6d8dcee629c0,2019-02-20,1,18051513,53,0.0189,Vancouver,British Columbia
328,c10907a9-2918-4e39-98d1-6d8dcee629c0,2019-02-22,1,18051513,53,0.0189,Vancouver,British Columbia
329,c10907a9-2918-4e39-98d1-6d8dcee629c0,2019-02-23,4,18051513,53,0.07547000000000001,Vancouver,British Columbia
330,c10907a9-2918-4e39-98d1-6d8dcee629c0,2019-02-24,3,18051513,53,0.0566,Vancouver,British Columbia
331,c10907a9-2918-4e39-98d1-6d8dcee629c0,2019-02-25,2,18051513,53,0.0377,Vancouver,British Columbia
332,c10907a9-2918-4e39-98d1-6d8dcee629c0,2019-02-26,1,18051513,53,0.0189,Vancouver,British Columbia
334,c10907a9-2918-4e39-98d1-6d8dcee629c0,2019-02-28,1,18051513,53,0.0189,Vancouver,British Columbia
335,c10907a9-2918-4e39-98d1-6d8dcee629c0,2019-03-01,1,18051513,53,0.0189,Vancouver,British Columbia
336,c10907a9-2918-4e39-98d1-6d8dcee629c0,2019-03-02,3,18051513,53,0.0567,Vancouver,British Columbia
337,c10907a9-2918-4e39-98d1-6d8dcee629c0,2019-03-03,4,18051513,53,0.0756,Vancouver,British Columbia
338,c10907a9-2918-4e39-98d1-6d8dcee629c0,2019-03-04,4,18051513,53,0.0755,Vancouver,British Columbia
350,c10907a9-2918-4e39-98d1-6d8dcee629c0,2019-03-06,2,18051513,53,0.0377,Vancouver,British Columbia
212,c417c203-b8dd-4183-aa6e-10967b8d6108,2019-02-20,1,18047348,45,0.02,Ottawa,Ontario
219,c417c203-b8dd-4183-aa6e-10967b8d6108,2019-02-21,1,18047348,45,0.02,Ottawa,Ontario
224,c417c203-b8dd-4183-aa6e-10967b8d6108,2019-02-22,2,18047348,45,0.04,Ottawa,Ontario
223,c417c203-b8dd-4183-aa6e-10967b8d6108,2019-02-23,2,18047348,45,0.04,Ottawa,Ontario
225,c417c203-b8dd-4183-aa6e-10967b8d6108,2019-02-24,1,18047348,45,0.02,Ottawa,Ontario
226,c417c203-b8dd-4183-aa6e-10967b8d6108,2019-02-25,1,18047348,45,0.02,Ottawa,Ontario
227,c417c203-b8dd-4183-aa6e-10967b8d6108,2019-02-26,2,18047348,45,0.04,Ottawa,Ontario
94,c6d6037c-545f-4201-8eaa-5dd518480bd1,2019-02-19,1,18130212,49,0.020408163,East Angus,Quebec
411,c7ac3b2b-09d0-445f-809f-408a1c8456d4,2019-03-21,1,18051426,45,0.02,Eganville,Ontario
424,c7ac3b2b-09d0-445f-809f-408a1c8456d4,2019-03-22,1,18051426,45,0.02,Eganville,Ontario
425,c7ac3b2b-09d0-445f-809f-408a1c8456d4,2019-03-23,1,18051426,45,0.02,Eganville,Ontario
448,ce98fe7b-9cf0-4b11-ba00-63b599ea01e6,2019-03-20,2,17129223,56,0.0357,Ottawa,Ontario
449,ce98fe7b-9cf0-4b11-ba00-63b599ea01e6,2019-03-21,2,17129223,56,0.0357,Ottawa,Ontario
450,ce98fe7b-9cf0-4b11-ba00-63b599ea01e6,2019-03-22,1,17129223,56,0.0178,Ottawa,Ontario
523,ce98fe7b-9cf0-4b11-ba00-63b599ea01e6,2019-04-08,3,17129223,56,0.053570000000000007,Ottawa,Ontario
612,ce98fe7b-9cf0-4b11-ba00-63b599ea01e6,2019-04-18,3,17129223,56,0.053571429000000004,Ottawa,Ontario
611,ce98fe7b-9cf0-4b11-ba00-63b599ea01e6,2019-04-18,1,17129223,56,0.017857143,Ottawa,Ontario
